"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#DAAA00","Castro, S.","128","-12","0","0","12","-16","0","0","30","24"
"2","#DAAA00","Lichtman, C.","88","-12","0","0","0","0","12","0","80","0"
"3","#DAAA00","De La Cruz, B.","56","-36","0","0","24","-8","24","0","65","12"
"4","#DAAA00","Nichol, V.","16","-12","36","0","0","-8","0","0","60","0"
"5","#DAAA00","Tupac, K.","0","0","2","0","0","0","22","-12","65","0"
"6","#DAAA00","Sybeldon, L.","40","-24","1","0","0","0","0","0","5","36"
"7","#DAAA00","McCage, M.","40","-24","0","0","0","-16","0","0","10","12"
"8","#DAAA00","Seliger-Swenson, S.","0","0","0","0","0","0","0","0","0","0"
"9","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"10","#DAAA00","Fairs, E.","0","0","0","0","0","0","0","0","0","0"
"11","#DAAA00","Pickrell, K.","0","0","0","0","0","0","0","0","0","0"
"12","#8C4799","Hunter, K.","8","0","36","0","24","-8","0","0","65","0"
"13","#8C4799","Atkinson, S.","120","-72","0","-12","0","0","0","0","60","12"
"14","#8C4799","Edmond, L.","88","-60","0","0","0","-8","26","-24","40","12"
"15","#8C4799","Vélez Agosto, N.","0","0","2","0","0","0","10","-12","60","0"
"16","#8C4799","Aliyeva, O.","16","0","1","0","0","-8","12","0","30","0"
"17","#8C4799","Crocker, C.","48","-24","1","0","0","0","0","0","10","12"
"18","#8C4799","Stalzer, L.","16","-24","0","0","0","0","14","0","15","12"
"19","#8C4799","Bastianelli, A.","40","-24","0","0","0","-8","0","0","20","0"
"20","#8C4799","Peterson, A.","0","0","0","0","0","0","0","0","5","0"
"0","#8C4799","Holman, B.","","","","","","","","","",""
"0","#8C4799","Holston, A.","","","","","","","","","",""