athlete,position
"Abbott, S.",OUTHT
"Aliyeva, O.",OUTHT
"Atkinson, S.",OPPHT
"Bastianelli, A.",MBLCK
"Bruns, T.",SETTR
"Carter, K.",OPPHT
"Castro, S.",OPPHT
"Clark, T.",LIB
"Crocker, C.",MBLCK
"Cruz, A.",OUTHT
"De La Cruz, B.",OUTHT
"Edmond, L.",OUTHT
"Fairs, E.",OUTHT
"Freeman, S.",OPPHT
"Gibbemeyer, L.",MBLCK
"Grant, N.",MBLCK
"Handley, E.",SETTR
"Holston, A.",OPPHT
"Hunter, K.",SETTR
"Johnson, W.",OPPHT
"King, B.",SETTR
"Larson, J.",OUTHT
"Lichtman, C.",OUTHT
"Lohman, M.",MBLCK
"Lowe, K.",OPPHT
"Manns, K.",SETTR
"McCage, M.",MBLCK
"McClendon, D.",OUTHT
"Michel, C.",MBLCK
"Morgan, T.",MBLCK
"Nichol, V.",SETTR
"Nwanebu, E.",OPPHT
"Peterson, A.",SETTR
"Rosado, D.",LIB
"Sandbothe, T.",MBLCK
"Seliger-Swenson, S.",SETTR
"Stalzer, L.",OUTHT
"Sybeldon, L.",MBLCK
"Toliver, H.",OUTHT
"Tupac, K.",LIB
"V̩lez Agosto, N.",LIB
"Wieser, K.",MBLCK
"Wilson, E.",OUTHT
